4.457,52.141
4.377,51.853
4.329,51.851
4.728,52.044
4.662,52.154
4.647,52.434
5.003,52.642
4.746,52.013
4.547,52.301
4.689,52.605
4.543,51.893
4.327,52.092
4.451,52.236
4.635,52.444
4.731,52.046
4.564,51.919
4.733,51.832
4.443,52.0
4.704,52.586
4.237,52.067
4.534,52.14
4.634,52.333
4.331,51.937
4.644,52.05
5.108,52.657
4.626,52.281
4.604,51.956
4.457,52.141
4.377,51.853
4.481,51.793
4.329,51.851
4.481,51.793
4.528,52.373
4.662,52.154
4.647,52.434
5.003,52.642
4.746,52.013
4.547,52.301
4.689,52.605
4.047,51.795
4.459,52.235
4.718,52.036
4.712,51.793
4.585,52.349
4.728,52.044
4.311,52.088
4.543,51.893
4.506,51.86
4.488,51.849
4.451,52.236
4.171,51.909
4.655,52.435
4.656,52.431
4.665,52.633
4.635,52.444
4.731,52.046
4.564,51.919
4.3,52.034
4.733,51.832
4.696,52.027
4.579,52.169
4.644,52.317
4.443,52.0
4.669,52.224
4.704,52.586
4.237,52.067
4.534,52.14
4.469,52.162
4.452,51.53
4.431,52.238
4.16,51.835
4.168,51.91
4.232,51.904
4.155,51.842
4.496,51.846
4.634,52.333
4.865,52.306
4.331,51.937
4.611,51.954
4.512,51.993
4.874,52.315
4.644,52.036
4.616,52.03
4.644,52.05
5.108,52.657
4.762,52.484
4.482,51.997
4.626,52.281
4.353,51.835
4.813,52.64
4.604,51.956
4.805,52.436
4.612,51.923
5.873,51.094
5.956,51.178
5.94,51.13
5.571,51.275
5.72,50.778
5.475,51.494
5.73,51.36
5.213,51.375
6.003,51.258
6.003,51.196
5.843,51.163
5.432,51.473
5.606,51.453
5.501,51.423
5.437,51.475
5.683,51.266
5.289,51.393
5.961,50.877
5.46,51.487
5.622,51.485
4.738,51.66
5.308,51.505
5.58,51.415
5.721,51.258
5.68,51.259
5.873,51.094
5.94,51.13
5.571,51.275
5.956,51.178
5.72,50.778
5.475,51.494
5.527,51.493
5.73,51.36
5.213,51.375
6.003,51.258
6.003,51.196
5.572,51.271
5.389,51.415
5.87,50.973
5.843,51.163
5.759,50.886
5.432,51.473
6.006,51.325
5.762,50.845
5.526,51.494
6.145,51.349
5.725,51.385
5.606,51.453
5.863,50.919
5.501,51.423
5.481,51.465
5.879,51.165
5.437,51.475
5.683,51.266
5.289,51.393
5.961,50.877
5.859,51.04
6.207,51.491
5.46,51.487
5.82,50.872
5.622,51.485
5.47,51.45
4.738,51.66
6.045,51.462
5.308,51.505
5.58,51.415
5.721,51.258
5.477,51.526
4.105,51.435
4.105,51.599
4.324,51.59
3.446,51.528
4.329,51.471
3.741,51.47
4.384,51.525
4.598,51.638
4.574,51.581
3.572,51.456
3.596,51.46
3.914,51.463
3.907,51.494
3.907,51.494
3.572,51.456
4.574,51.581
4.324,51.59
4.105,51.599
4.105,51.435
4.439,51.512
5.586,52.023
5.19,52.024
5.433,52.083
5.047,51.529
5.103,51.882
5.132,51.464
5.556,51.609
4.642,51.458
4.986,51.593
5.058,52.021
5.005,51.574
4.813,51.59
4.87,51.698
4.909,51.593
4.998,52.1
4.973,51.573
5.606,51.677
4.717,51.591
4.867,51.696
4.734,51.623
4.785,51.505
4.768,51.581
5.04,52.007
4.716,51.596
5.144,51.585
5.04,52.007
5.061,52.335
5.298,51.693
5.526,51.758
5.007,52.116
4.99,51.587
5.579,51.77
5.586,52.023
5.19,52.024
5.433,52.083
5.047,51.529
5.103,51.882
5.132,51.464
5.556,51.609
4.642,51.458
5.22,51.693
4.986,51.593
5.058,52.021
4.876,51.694
5.166,52.015
5.005,51.574
4.745,51.642
4.813,51.59
5.173,52.015
4.87,51.698
5.007,51.832
4.909,51.593
4.998,52.1
5.063,52.335
4.973,51.573
5.606,51.677
5.143,51.697
4.92,51.448
5.146,52.302
5.063,52.335
5.048,52.013
4.959,51.816
4.867,51.696
4.717,51.591
4.803,51.676
4.863,52.089
4.755,51.61
4.988,51.573
5.164,52.018
5.243,52.38
5.292,52.206
4.836,52.118
5.199,51.583
5.522,51.947
5.682,51.748
4.785,51.505
5.135,52.09
4.832,51.645
4.697,51.709
5.27,51.399
5.544,51.611
4.734,51.623
4.727,51.612
5.02,52.129
5.716,52.267
4.815,51.591
5.871,51.739
4.768,51.581
5.226,52.081
5.138,51.611
4.785,51.505
4.713,51.603
5.071,52.038
5.054,51.836
5.288,51.684
4.805,51.546
5.04,52.007
4.716,51.596
5.144,51.585
4.92,51.448
5.566,51.633
5.061,52.335
5.12,52.243
5.581,51.63
4.871,51.657
4.821,51.649
5.14,52.127
4.8,51.567
5.298,51.693
5.526,51.758
5.007,52.116
5.285,52.047
4.99,51.587
5.579,51.77
4.466,51.552
4.466,51.552
4.466,51.552
4.466,51.552
4.466,51.552
4.466,51.552
4.466,51.552
4.466,51.552
4.466,51.552
4.83,51.612
5.147,51.615
5.019,51.674
